"","country","gender","health","happy","id","news","internet","polintr","cptppola","trstplt","trstprt","trstsci","vote","trstprl","lrscale","stfdem","stfhlth","stfedu","freehms","hmsacld","atcherp","agea","education","unemployd","partnr_educ","happy_scaled","health_centered"
"13292","HU","Female",1,9,23562,10,5,4,1,2,1,3,2,4,10,1,2,1,4,5,6,39,321,0,321,0.906354018105718,-1.24600798403194
"13293","HU","Female",1,10,23573,0,5,4,1,0,0,0,3,0,10,0,0,0,NA,NA,10,15,113,0,NA,1.39338006756749,-1.24600798403194
"13294","HU","Male",3,5,23575,30,4,3,1,5,5,5,1,4,5,5,3,5,3,4,4,61,321,0,321,-1.04175017974137,0.753992015968064
"13295","HU","Female",2,8,23580,90,5,2,4,3,4,9,1,4,4,2,2,5,2,3,8,46,720,0,710,0.419327968643947,-0.246007984031936
"13296","HU","Male",1,5,23584,30,2,3,2,5,5,8,1,6,7,7,6,7,3,5,8,65,323,0,313,-1.04175017974137,-1.24600798403194
"13297","HU","Male",1,8,23586,60,5,4,1,0,0,5,2,5,5,9,8,NA,2,4,7,53,520,0,NA,0.419327968643947,-1.24600798403194
"13298","HU","Female",2,8,23589,20,5,3,1,5,5,7,1,5,6,9,9,8,NA,4,8,27,213,0,321,0.419327968643947,-0.246007984031936
"13299","HU","Male",3,7,23592,60,1,2,1,6,6,6,1,6,8,6,7,NA,4,4,10,74,610,0,NA,-0.0676980808178235,0.753992015968064
"13300","HU","Female",3,9,23612,120,5,3,3,3,5,5,1,5,10,4,5,4,1,1,10,28,321,0,213,0.906354018105718,0.753992015968064
"13301","HU","Female",3,5,23614,120,1,3,1,0,0,5,1,0,NA,6,3,5,NA,4,10,85,321,0,NA,-1.04175017974137,0.753992015968064
"13302","HU","Male",2,6,23626,30,5,3,1,0,0,8,2,5,5,5,4,4,2,NA,10,21,323,0,NA,-0.554724130279594,-0.246007984031936
"13303","HU","Female",4,8,23633,60,5,3,1,3,5,6,1,5,6,8,6,8,2,3,5,62,321,0,321,0.419327968643947,1.75399201596806
"13304","HU","Female",3,7,23634,620,1,2,3,7,7,8,1,7,8,7,8,9,1,1,7,62,321,0,NA,-0.0676980808178235,0.753992015968064
"13305","HU","Female",2,3,23643,791,1,3,2,3,1,8,1,3,7,3,1,NA,5,4,9,64,213,0,NA,-2.01580227866491,-0.246007984031936
"13306","HU","Male",3,5,23648,60,5,4,2,6,6,7,2,6,5,5,4,5,2,2,5,34,313,0,NA,-1.04175017974137,0.753992015968064
"13307","HU","Male",1,8,23657,70,4,3,2,4,3,8,1,5,5,3,3,6,3,NA,6,42,323,0,313,0.419327968643947,-1.24600798403194
"13308","HU","Male",4,7,23660,NA,3,3,1,3,5,7,1,4,4,2,3,3,2,5,10,72,323,0,610,-0.0676980808178235,1.75399201596806
